ward_id,precinct_id,precinct_name,total_voters,elderly_count,elderly_percentage,mean_age,median_age
21,1,Precinct 1,1766,165,9.34,36.44,31.0
21,2,Precinct 2,541,22,4.07,30.0,25.0
21,3,Precinct 3,1206,138,11.44,36.15,30.0
21,4,Precinct 4,1051,78,7.42,34.2,29.0
21,5,Precinct 5,1505,109,7.24,34.26,30.0
21,6,Precinct 6,1104,183,16.58,40.18,32.0
21,7,Precinct 7,1534,281,18.32,40.87,33.0
21,8,Precinct 8,1778,164,9.22,35.67,30.0
21,9,Precinct 9,2412,352,14.59,39.28,32.0
21,10,Precinct 10,1568,413,26.34,45.23,36.0
21,11,Precinct 11,1743,196,11.24,37.59,32.0
21,12,Precinct 12,1561,499,31.97,47.0,34.0
21,13,Precinct 13,2116,841,39.74,51.73,40.5
21,14,Precinct 14,1015,88,8.67,35.61,31.0
21,15,Precinct 15,1256,130,10.35,36.97,31.0
21,16,Precinct 16,1625,540,33.23,48.98,40.0
22,1,Precinct 1,2011,224,11.14,37.81,32.0
22,2,Precinct 2,2462,423,17.18,41.15,34.0
22,3,Precinct 3,1919,249,12.98,38.6,32.0
22,4,Precinct 4,1374,257,18.7,42.37,35.0
22,5,Precinct 5,1644,202,12.29,38.7,33.0
22,6,Precinct 6,1201,154,12.82,38.89,32.0
22,7,Precinct 7,1612,252,15.63,40.33,33.0
22,8,Precinct 8,1223,306,25.02,45.51,37.0
22,9,Precinct 9,1427,251,17.59,41.68,34.0
22,10,Precinct 10,1597,234,14.65,39.78,33.0
22,11,Precinct 11,1124,192,17.08,42.64,36.0
22,12,Precinct 12,1394,264,18.94,42.46,36.0
22,13,Precinct 13,990,189,19.09,42.42,34.0
